"Organism","Element ID","Element Description","Promoter","Transgenesis","Stage","Expression","Tissues","Genome Assembly","Element Coordinates"
"Mouse","mm1895.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15413551-15418618"
"Mouse","mm1896.0","reference","Shh","targeted (H11)","e11.5","positive","Nose","mm10","chr13:15418101-15423221"
"Mouse","mm1897.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Cranial nerve, Heart","mm10","chr13:15422725-15427678"
"Mouse","mm1898.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15432113-15436834"
"Mouse","mm19.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:88138105-88141063"
"Mouse","mm190.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr9:70834536-70835232"
"Mouse","mm1900.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15474478-15479074"
"Mouse","mm1901.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15478780-15483310"
"Mouse","mm1902.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Forebrain, Midbrain, Hindbrain","mm10","chr13:15483223-15488000"
"Mouse","mm1903.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15487723-15492899"
"Mouse","mm1904.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15492619-15496856"
"Mouse","mm1905.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15496595-15501320"
"Mouse","mm1906.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Limb, Ear, Midbrain, Hindbrain, Trigeminal V (ganglion, cranial), Eye, Genital tubercle, Other","mm10","chr13:15501067-15505862"
"Mouse","mm1907.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15509942-15514396"
"Mouse","mm1908.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15518449-15523102"
"Mouse","mm1909.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15526758-15531408"
"Mouse","mm191.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:79323558-79324112"
"Mouse","mm1910.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15522324-15526888"
"Mouse","mm1911.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Ear","mm10","chr13:15535421-15540093"
"Mouse","mm1912.0","reference","Shh","targeted (H11)","e11.5","positive","Facial mesenchyme, Forebrain","mm10","chr13:15553756-15558617"
"Mouse","mm1913.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15558043-15562839"
"Mouse","mm1914.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15562611-15567243"
"Mouse","mm1915.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Nose, Midbrain, Heart","mm10","chr13:15566506-15571780"
"Mouse","mm1916.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Nose, Midbrain, Heart","mm10","chr13:15570849-15575700"
"Mouse","mm1917.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch","mm10","chr13:15575347-15580762"
"Mouse","mm1918.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15584406-15589205"
"Mouse","mm1919.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15593361-15597900"
"Mouse","mm192.0","reference","Hsp68","random","e11.5","positive","Heart, Somite","mm10","chr13:41643216-41644683"
"Mouse","mm1920.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15597464-15602664"
"Mouse","mm1921.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15605927-15610515"
"Mouse","mm1922.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15613656-15618756"
"Mouse","mm1923.0","reference","Shh","targeted (H11)","e11.5","positive","Eye","mm10","chr13:15617322-15622705"
"Mouse","mm1924.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15626547-15632244"
"Mouse","mm1925.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15631452-15636454"
"Mouse","mm1926.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15635901-15641216"
"Mouse","mm1927.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15640226-15645431"
"Mouse","mm1928.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15649814-15655007"
"Mouse","mm1929.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15654465-15659246"
"Mouse","mm193.0","reference","Hsp68","random","e11.5","negative","","mm10","chr13:43195920-43197078"
"Mouse","mm1930.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15669504-15674739"
"Mouse","mm1931.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15674186-15678827"
"Mouse","mm1932.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15688509-15693331"
"Mouse","mm1933.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15697375-15702522"
"Mouse","mm1935.0","reference","Shh","targeted (H11)","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr13:15711742-15716673"
"Mouse","mm1936.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15715884-15720293"
"Mouse","mm1937.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15720117-15724221"
"Mouse","mm1938.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15728019-15732827"
"Mouse","mm1939.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15750111-15754646"
"Mouse","mm194.0","reference","Hsp68","random","e11.5","positive","Midbrain, Heart","mm10","chr2:32127733-32128586"
"Mouse","mm1940.0","reference","Shh","targeted (H11)","e11.5","positive","Hindbrain, Other","mm10","chr13:15754222-15759133"
"Mouse","mm1941.0","reference","Shh","targeted (H11)","e11.5","positive","Ear","mm10","chr13:15762280-15766698"
"Mouse","mm1942.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15038845-15043750"
"Mouse","mm1943.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15043495-15048269"
"Mouse","mm1944.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15021834-15026527"
"Mouse","mm1945.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15026296-15031055"
"Mouse","mm1946.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15012784-15017688"
"Mouse","mm1947.0","reference","Shh","targeted (H11)","e11.5","positive","Hindbrain, Other","mm10","chr13:15008720-15013622"
"Mouse","mm1948.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14996110-15000324"
"Mouse","mm1949.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14999871-15004942"
"Mouse","mm195.0","reference","Hsp68","random","e11.5","negative","","mm10","chr19:46618498-46619735"
"Mouse","mm1950.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14991685-14996430"
"Mouse","mm1951.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14979350-14983691"
"Mouse","mm1952.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14983080-14987969"
"Mouse","mm1953.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14969691-14974824"
"Mouse","mm1954.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14961069-14965845"
"Mouse","mm1955.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14965597-14970349"
"Mouse","mm1956.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14952269-14957098"
"Mouse","mm1957.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14956828-14961783"
"Mouse","mm1958.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14943853-14948768"
"Mouse","mm1959.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14929398-14934479"
"Mouse","mm196.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr8:120292016-120294793"
"Mouse","mm1960.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14924224-14929588"
"Mouse","mm1961.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14915082-14920082"
"Mouse","mm1962.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15453662-15459379"
"Mouse","mm1963.0","reference","Shh","targeted (H11)","e11.5","positive","Facial mesenchyme, Nose","mm10","chr13:15441032-15447769"
"Mouse","mm1966.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15096258-15101273"
"Mouse","mm1967.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15115413-15121022"
"Mouse","mm1968.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15153686-15158727"
"Mouse","mm1969.0","reference","Shh","targeted (H11)","e11.5","positive","Ear, Tail, Dorsal root ganglion, Trigeminal V (ganglion, cranial), Genital tubercle","mm10","chr13:15206895-15211138"
"Mouse","mm1970.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15297442-15302870"
"Mouse","mm1971.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15382006-15387356"
"Mouse","mm1972.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15399373-15404811"
"Mouse","mm1973.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15408604-15413747"
"Mouse","mm1974.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15447406-15454911"
"Mouse","mm1975.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15505305-15510317"
"Mouse","mm1976.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15530843-15535806"
"Mouse","mm1977.0","reference","Shh","targeted (H11)","e11.5","positive","Limb, Forebrain","mm10","chr13:15548946-15554257"
"Mouse","mm1978.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15580102-15584812"
"Mouse","mm1979.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15609434-15614048"
"Mouse","mm1980.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15621870-15626949"
"Mouse","mm1981.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15745526-15750531"
"Mouse","mm1982.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15034775-15039500"
"Mouse","mm1983.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14987045-14991762"
"Mouse","mm1984.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14948289-14953105"
"Mouse","mm1985.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14939033-14944070"
"Mouse","mm1986.0","reference","Shh","targeted (H11)","e14.5","positive","Branchial arch","mm10","chr1:72877559-72879442"
"Mouse","mm1988.0","reference","Shh","targeted (H11)","e14.5","positive","Limb, Other","mm10","chr8:72287700-72291415"
"Mouse","mm1989.0","reference","Shh","targeted (H11)","e14.5","positive","Limb","mm10","chr11:113084311-113086270"
"Mouse","mm1990.0","reference","Shh","targeted (H11)","e14.5","positive","Limb","mm10","chr6:136917347-136918839"
"Mouse","mm1991.0","reference","Shh","targeted (H11)","e14.5","positive","Nose, Limb, Ear, Tail","mm10","chr3:113698497-113700076"
"Mouse","mm1992.0","reference","Shh","targeted (H11)","e14.5","negative","","mm10","chr5:134749926-134751400"
"Mouse","mm1993.0","reference","Shh","targeted (H11)","e14.5","positive","Forebrain, Hindbrain","mm10","chr11:112976318-112977794"
"Mouse","mm1994.0","reference","Shh","targeted (H11)","e14.5","negative","","mm10","chr5:134789759-134791387"
"Mouse","mm1995.0","reference","Shh","targeted (H11)","e14.5","positive","Limb","mm10","chr11:94872210-94874162"
"Mouse","mm1996.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:58805567-58806744"
"Mouse","mm1997.0","reference","Shh","targeted (H11)","e11.5","positive","Heart","mm10","chr9:58807091-58808718"
"Mouse","mm1998.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:117710391-117711535"
"Mouse","mm1999.0","reference","Shh","targeted (H11)","e11.5","positive","Heart","mm10","chr17:14516386-14518294"
"Mouse","mm2.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:52334873-52335444"
"Mouse","mm20.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:141294810-141295982"
"Mouse","mm200.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr10:80773813-80774999"
"Mouse","mm2000.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr3:66650280-66651384"
"Mouse","mm2002.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr7:96645325-96646277"
"Mouse","mm2003.0","reference","Shh","targeted (H11)","e11.5","positive","Tail, Cranial nerve, Somite","mm10","chr7:96650860-96653624"
"Mouse","mm2004.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr11:119662831-119664888"
"Mouse","mm2005.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr7:115372934-115375715"
"Mouse","mm2006.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr11:119576549-119578239"
"Mouse","mm2007.0","reference","Shh","targeted (H11)","e11.5","positive","Heart","mm10","chr7:136037915-136040176"
"Mouse","mm2008.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr4:41675553-41678471"
"Mouse","mm2009.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr8:46219988-46221292"
"Mouse","mm201.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:57962142-57963143"
"Mouse","mm2010.0","reference","Shh","targeted (H11)","e11.5","positive","Heart","mm10","chr3:152028522-152029928"
"Mouse","mm2011.0","reference","Shh","targeted (H11)","e11.5","positive","Heart","mm10","chr12:83015854-83017524"
"Mouse","mm2012.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:58757819-58760044"
"Mouse","mm2013.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15347122-15352381"
"Mouse","mm2014.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15363636-15368896"
"Mouse","mm2015.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15386757-15391502"
"Mouse","mm2016.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15395296-15400565"
"Mouse","mm2017.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15436340-15441269"
"Mouse","mm2018.0","reference","Shh","targeted (H11)","e11.5","positive","Limb","mm10","chr13:15469957-15475212"
"Mouse","mm2019.0","reference","Shh","targeted (H11)","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr13:15539214-15545868"
"Mouse","mm2020.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15545387-15548967"
"Mouse","mm2021.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15588566-15593803"
"Mouse","mm2022.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Nose, Limb, Tail, Forebrain, Midbrain, Hindbrain, Neural tube, Eye","mm10","chr13:15602094-15606909"
"Mouse","mm2023.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15644973-15650317"
"Mouse","mm2024.0","reference","Shh","targeted (H11)","e11.5","positive","Limb, Ear, Other","mm10","chr13:15659071-15664159"
"Mouse","mm2025.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15678608-15683744"
"Mouse","mm2026.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15682724-15688610"
"Mouse","mm2027.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15693175-15698205"
"Mouse","mm2028.0","reference","Shh","targeted (H11)","e11.5","positive","Forebrain","mm10","chr13:15706968-15711848"
"Mouse","mm2029.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15723819-15728392"
"Mouse","mm2030.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15731278-15737044"
"Mouse","mm2031.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15736042-15741399"
"Mouse","mm2032.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15740480-15745547"
"Mouse","mm2033.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15766392-15771539"
"Mouse","mm2034.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15771222-15777144"
"Mouse","mm2035.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15776373-15780982"
"Mouse","mm2036.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15017389-15022260"
"Mouse","mm2037.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15004516-15009237"
"Mouse","mm2038.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14974641-14979583"
"Mouse","mm2039.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14919440-14924679"
"Mouse","mm2040.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14910685-14915702"
"Mouse","mm2041.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14905169-14910775"
"Mouse","mm2042.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14900470-14905478"
"Mouse","mm2043.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14890817-14896301"
"Mouse","mm2044.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14880756-14885995"
"Mouse","mm2045.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch, Forebrain","mm10","chr13:14875949-14881117"
"Mouse","mm2046.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14871100-14876130"
"Mouse","mm2047.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14866085-14871470"
"Mouse","mm2048.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14856118-14861127"
"Mouse","mm2049.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14851381-14856455"
"Mouse","mm2050.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14846642-14851716"
"Mouse","mm2051.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14841403-14846862"
"Mouse","mm2052.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14836570-14841844"
"Mouse","mm2053.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14826963-14832204"
"Mouse","mm2054.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14821944-14827358"
"Mouse","mm2055.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14816913-14822151"
"Mouse","mm2056.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14812173-14817313"
"Mouse","mm2057.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14807373-14812494"
"Mouse","mm2058.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14792480-14797926"
"Mouse","mm2059.0","reference","Shh","targeted (H11)","e11.5","positive","Midbrain, Neural tube","mm10","chr13:14787660-14793048"
"Mouse","mm2060.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14777921-14783096"
"Mouse","mm2061.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14758578-14763894"
"Mouse","mm2062.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14733886-14739186"
"Mouse","mm2063.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14728859-14734326"
"Mouse","mm2064.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14723863-14729105"
"Mouse","mm2065.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14719097-14724249"
"Mouse","mm2066.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14714267-14719523"
"Mouse","mm2067.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14709364-14714468"
"Mouse","mm2068.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14704284-14709747"
"Mouse","mm2069.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14699365-14704573"
"Mouse","mm2070.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14689596-14694744"
"Mouse","mm2071.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14684752-14690058"
"Mouse","mm2072.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14679658-14684970"
"Mouse","mm2073.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14674606-14679912"
"Mouse","mm2074.0","reference","Shh","targeted (H11)","e11.5","positive","Facial mesenchyme","mm10","chr13:14669878-14675087"
"Mouse","mm2075.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14664766-14670140"
"Mouse","mm2076.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14660219-14665547"
"Mouse","mm2077.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14655343-14660594"
"Mouse","mm2078.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14640829-14646066"
"Mouse","mm2079.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:14635984-14641308"
"Mouse","mm2080.0","reference","Shh","targeted (H11)","e11.5","positive","Limb, Other","mm10","chr13:14626494-14631743"
"Mouse","mm2081.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15082855-15087849"
"Mouse","mm2082.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15120637-15125881"
"Mouse","mm2083.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15172969-15178202"
"Mouse","mm2084.0","reference","Shh","targeted (H11)","e11.5","positive","Tail, Neural tube","mm10","chr13:15177943-15183579"
"Mouse","mm2085.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15182912-15188099"
"Mouse","mm2086.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15187594-15192697"
"Mouse","mm2087.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15243588-15248324"
"Mouse","mm2088.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15264594-15269694"
"Mouse","mm2089.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15292874-15298022"
"Mouse","mm2090.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr13:15314782-15319695"
"Mouse","mm2091.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63703814-63708564"
"Mouse","mm2092.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63743776-63748466"
"Mouse","mm2093.0","reference","Shh","targeted (H11)","e11.5","positive","Forebrain, Hindbrain, Neural tube","mm10","chr9:63752842-63757554"
"Mouse","mm2094.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63788431-63793113"
"Mouse","mm2095.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63881795-63886618"
"Mouse","mm2096.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63903964-63908650"
"Mouse","mm2097.0","reference","Shh","targeted (H11)","e11.5","positive","Limb, Heart, Genital tubercle, Other","mm10","chr9:63912864-63917663"
"Mouse","mm2098.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63681763-63685759"
"Mouse","mm2099.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:66590716-66594023"
"Mouse","mm21.0","reference","Hsp68","random","e11.5","positive","Midbrain, Heart","mm10","chr8:84728905-84732705"
"Mouse","mm210.0","reference","Hsp68","random","e11.5","positive","Nose","mm10","chr9:62414653-62415677"
"Mouse","mm2100.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:66465121-66468456"
"Mouse","mm2101.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:66562316-66565856"
"Mouse","mm2102.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:66575695-66578731"
"Mouse","mm2103.0","reference","Hsp68","random","e11.5","positive","Midbrain","mm10","chr3:66518263-66521664"
"Mouse","mm2105.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:66660575-66664037"
"Mouse","mm2106.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr3:66655648-66658676"
"Mouse","mm2107.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr3:66699740-66703287"
"Mouse","mm2108.0","reference","Hsp68","random","e11.5","positive","Trigeminal V (ganglion, cranial)","mm10","chr3:66542058-66546392"
"Mouse","mm2109.0","reference","Hsp68","random","e11.5","positive","Somite","mm10","chr3:66492941-66496049"
"Mouse","mm211.0","reference","Hsp68","random","e11.5","negative","","mm10","chr9:63108239-63110238"
"Mouse","mm2110.0","reference","Hsp68","random","e11.5","positive","Blood vessels","mm10","chr3:66484145-66487211"
"Mouse","mm2111.0","reference","Hsp68","random","e11.5","positive","Hindbrain","mm10","chr3:66397740-66399681"
"Mouse","mm2112.0","reference","Hsp68","random","e11.5","positive","Forebrain, Hindbrain","mm10","chr3:66324764-66327602"
"Mouse","mm2114.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr3:66654695-66657196"
"Mouse","mm2115.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:66459872-66463718"
"Mouse","mm2116.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63685902-63690544"
"Mouse","mm2117.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63699184-63704179"
"Mouse","mm2118.0","reference","Shh","targeted (H11)","e11.5","positive","Branchial arch","mm10","chr9:63712557-63717205"
"Mouse","mm2119.0","reference","Shh","targeted (H11)","e11.5","positive","Dorsal root ganglion, Blood vessels","mm10","chr9:63717370-63721587"
"Mouse","mm2120.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63730534-63735260"
"Mouse","mm2121.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63739296-63743977"
"Mouse","mm2122.0","reference","Shh","targeted (H11)","e11.5","positive","Tail, Forebrain, Midbrain, Other","mm10","chr9:63748172-63752927"
"Mouse","mm2123.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63774862-63779735"
"Mouse","mm2124.0","reference","Shh","targeted (H11)","e11.5","positive","Hindbrain, Neural tube","mm10","chr9:63779339-63783977"
"Mouse","mm2125.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63783958-63788606"
"Mouse","mm2126.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63797158-63801876"
"Mouse","mm2127.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63806068-63810928"
"Mouse","mm2128.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63814925-63819551"
"Mouse","mm2129.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63837400-63842014"
"Mouse","mm213.0","reference","Hsp68","random","e11.5","positive","Heart, Somite","mm10","chr11:68623475-68624174"
"Mouse","mm2131.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63855116-63859864"
"Mouse","mm2132.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63859563-63864363"
"Mouse","mm2133.0","reference","Shh","targeted (H11)","e11.5","negative","","mm10","chr9:63863970-63868751"
"Mouse","mm2134.0","reference","Shh","targeted (H11)","e11.5","positive","Tail, Forebrain, Midbrain, Hindbrain, Other","mm10","chr9:63894989-63899610"
